ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
0.000137174,1,green,10,C,507.4563998,336.4484447,66.41645821,36.56912937,333.0977366,339,500,345,486,9805,258.3255814,341.9767442,26.47255626,37.84334147,160.60299,343,255,361,238,43,0.438551759,508.55378,336.4240934,64.4433028,36.56357499,339.968072,339,500,345,486,9762,99.56144824
4.57E-05,1,green,10,C,505.5432036,336.4162421,63.9718704,36.51917193,290.3439329,339,499,345,477,9814,269.8571429,323.1190476,28.64294186,36.40504011,223.7979094,328.5,271.5,345,293,42,0.427960057,506.5561809,336.4733934,62.18322334,36.51106733,277.1238468,339,499,345,477,9772,99.57203994
1.52E-05,1,green,10,C,508.8533605,336.9491853,64.9404475,36.43852817,379.4287429,339,502,345,475,9820,264.4642857,333.2142857,31.38114808,33.69619953,-111.3253968,329,254.5,321,250,28,0.285132383,509.5521855,336.9598652,63.68135854,36.44711679,378.2030445,339,502.5,345,475,9792,99.71486762
5.08E-06,1,green,10,C,511.0816056,336.9866204,66.07254486,36.08155733,363.7432779,339,505,345,486,9791,255.48,334.48,25.32640256,37.80665726,246.01,339,248,347,248,25,0.255336534,511.7359205,336.9930371,64.86518371,36.07884,362.4254012,339,505,345,486,9766,99.74466347
0,1,green,10,C,508.4285424,337.0252741,64.49809873,36.55479227,378.6680837,339,502,345,475,9852,254.7741935,329.3870968,32.3436853,34.54434582,185.1236559,324,242,359,238,31,0.314656922,509.2292027,337.049384,62.97768255,36.56009902,373.162407,339,502,345,475,9821,99.68534308
10,0.5,green,10,C,255.1750501,478.0992302,29.59186879,69.23120296,241.9212485,474,255,475,221,9483,253.9446682,478.8464066,23.8777655,68.57024389,419.8597291,474,253,475,221,9434,99.48328588,492.0612245,334.244898,57.92646494,39.46175924,246.0680272,331,493,325,498,49,0.51671412
0.1,0.5,green,10,C,257.9430347,489.9767996,26.79675644,65.47973338,611.3763455,486,257,475,273,9655,257.7607546,489.7853219,26.03609956,65.01917802,572.0031643,486,257,475,273,9647,99.91714138,477.75,720.875,30.59761895,163.5232072,-3096.607143,764,475,339,479,8,0.082858622
0.033333333,0.5,green,10,C,260.249383,481.9657548,27.496098,59.78685924,564.8054144,479,260,464,268,9724,260.0285185,481.7720581,26.53268612,59.35678129,526.1667154,479,260,464,268,9713,99.88687783,455.2727273,653,97.46598474,146.5701197,1414.4,662,435,786,448,11,0.113122172
0.011111111,0.5,green,10,C,261.3218844,446.3320535,27.93601016,55.04221127,437.2972156,444,260,443,274,9637,260.9437513,446.2754211,26.427872,54.69053799,427.7879799,444,260,443,274,9618,99.80284321,459.3888889,481.8333333,73.02146251,152.8298747,-1191.460784,421,457.5,421,396,18,0.186780118
0.003703704,0.5,green,10,C,327.6731743,371.3772338,92.97396214,53.60247422,-1387.337958,368,290,345,255,9681,275.0280696,385.1052237,27.56442618,52.11846477,136.4150012,382,274,350,255,6662,68.81520504,443.9973466,341.091874,80.132455,43.44850872,364.1405889,341,432,345,345,3015,31.14347691
