ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
0.000137174,1,red,10,A,482.4300303,338.4614521,64.61718066,35.6011269,226.8200578,340,476,345,463,8911,262.7162162,342.7837838,34.52555943,43.6907784,311.0336912,339.5,258,322,213,74,0.830434295,484.2871209,338.4241738,61.5681039,35.5282844,234.3615021,340,476,345,463,8836,99.15834362
4.57E-05,1,red,10,A,487.8102521,338.0237317,63.03133944,34.8477697,204.7440605,340,481,345,458,9481,263.4576271,346.1694915,35.74494034,28.96796836,396.9383402,348,260,352,216,59,0.622297226,489.2151348,337.9727234,60.60336764,34.87675237,215.0992771,340,481,345,458,9422,99.37770277
1.52E-05,1,red,10,A,486.2987421,337.8168239,64.59676951,34.59010673,222.2877865,340,479,345,463,6360,258.0196078,332.4313725,32.85269559,34.5700766,277.4913725,337,257,378,265,51,0.801886792,488.1440799,337.8603582,61.42637409,34.58959027,211.8655571,340,480,345,463,6309,99.19811321
5.08E-06,1,red,10,A,486.0590398,338.4361145,63.79549573,34.89078902,247.6094986,340,479,345,458,8977,252.7647059,336.1960784,32.90202926,30.41777086,288.2270588,342,242,345,235,51,0.568118525,487.3920009,338.4489133,61.43511107,34.91577413,244.4064148,340,479,345,458,8926,99.43188147
0,1,red,10,A,489.8668398,338.497967,63.72320978,34.9495214,284.8523781,340,482,345,473,8854,264.9565217,339.2608696,36.56346478,36.57469361,169.389372,340.5,258,345,213,46,0.519539191,491.0414396,338.4939827,61.72063142,34.94296425,286.3755758,340,482,345,473,8808,99.48046081
10,0.5,red,10,A,258.417694,415.0838772,28.20143145,56.14955788,27.7965817,414,258,381,263,8274,257.2989916,415.4673794,22.94846353,55.97511705,106.0358176,414,258,381,263,8231,99.48029973,472.5581395,341.6744186,79.19123999,38.91548898,875.5908084,334,473,367,457,43,0.519700266
0.1,0.5,red,10,A,259.7964846,431.3858059,24.03665509,61.43664557,176.8902453,430,260,419,257,9046,259.6466748,431.4749364,23.38547303,61.39077004,188.2866835,430,260,419,257,9037,99.90050851,410.2222222,341.8888889,100.2381886,39.8856003,2487.277778,345,336,324,327,9,0.099491488
0.033333333,0.5,red,10,A,261.083107,439.2912548,23.69355967,61.84449747,228.6649489,437,263,410,270,9205,261.0649718,439.2611908,23.63087031,61.78055272,223.6705213,437,263,410,270,9204,99.98913634,428,716,NA,NA,NA,716,428,716,428,1,0.010863661
0.011111111,0.5,red,10,A,262.7236348,433.2877515,25.13011158,57.341962,310.8942376,432,263,435,265,9046,262.6180993,433.2191614,24.83694041,57.15377676,299.5394496,432,263,435,265,9039,99.92261773,414.2,545,18.18515878,181.5172168,2170.5,603,417,317,416,5,0.055273049
0.003703704,0.5,red,10,A,264.4526634,394.5497089,25.47475606,48.9665192,226.5696454,392,265,392,257,9274,264.2589353,394.5305043,24.84101733,48.88333252,221.5283856,392,265,392,257,9261,99.85982316,415.6363636,420.6363636,65.82594128,96.34134391,1328.954545,386,412,397,402,11,0.118611171
