ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
0.000137174,1,green,10,B,507.609852,337.8458036,68.21345061,35.99940811,338.6196108,340,500,345,488,9663,274.8461538,330.7884615,34.86522208,35.65429685,169.5746606,325.5,274,321,267,52,0.538135155,508.8692124,337.8839871,66.15929017,35.99934045,330.6152104,340,501,345,488,9611,99.46186485
4.57E-05,1,green,10,B,505.257919,337.613224,66.41516137,35.99295048,420.3045036,340,497,345,485,9755,260.8571429,329.5,32.08174084,37.86085636,306.6666667,326.5,258.5,333,221,28,0.287032291,505.9614475,337.6365786,65.17944081,35.98684029,414.9382806,340,498,345,485,9727,99.71296771
1.52E-05,1,green,10,B,512.4471,338.5924591,68.08801893,36.78503861,353.3806643,340,504,345,487,9707,258.5517241,329.5517241,28.70986168,42.64436507,342.2204433,327,255,315,273,29,0.298753477,513.2078942,338.6195495,66.73623832,36.76529063,346.550012,340,504,345,487,9678,99.70124652
5.08E-06,1,green,10,B,508.1224972,337.8984495,66.89532019,35.9980097,358.4631495,340,501,345,516,9739,262,326.5789474,28.1693719,34.97692798,235.8648649,327,260,325,293,38,0.390183797,509.086589,337.9427894,65.20160429,35.99670553,348.0108306,340,502,345,516,9701,99.6098162
0,1,green,10,B,511.4665229,337.4644691,67.32131728,36.63060738,428.3227808,339,504,345,470,9738,266.372093,336.4651163,32.8633703,39.91977004,284.8228128,347,260,354,229,43,0.441569111,512.5535843,337.4689015,65.42126579,36.61754331,427.897401,339,504,345,470,9695,99.55843089
10,0.5,green,10,B,256.0582889,481.2414081,28.18802436,66.08768434,231.0714892,477,255,475,262,9573,255.1033036,481.8140535,23.51467022,65.51716237,367.2648581,478,255,475,262,9535,99.60305025,495.6842105,337.5526316,62.20459063,50.43631112,646.6657183,332.5,485,330,463,38,0.396949755
0.1,0.5,green,10,B,260.8000874,528.0043721,28.80025476,62.81724367,706.6602532,523,260,514,273,9149,260.5009849,528.0144452,27.42862925,62.31232705,716.8601149,523,260,514,273,9138,99.87976828,509.2727273,519.6363636,58.19981256,248.9800284,-6252.390909,361,504,327,504,11,0.120231719
0.033333333,0.5,green,10,B,260.4310917,487.2467829,26.49382779,55.97042101,489.3783979,486,260,486,267,9636,260.3215287,487.1703188,26.15429225,55.74168928,472.4988256,486,260,486,267,9629,99.92735575,411.1428571,592.4285714,54.63341033,178.1599068,9149.428571,611,413,611,410,7,0.072644251
0.011111111,0.5,green,10,B,262.2681889,450.9617021,28.20456539,52.744413,436.498439,450,262,435,268,9635,261.9412621,450.9193263,26.66878984,52.57063829,432.7099625,450,262,435,268,9619,99.83393876,458.8125,476.4375,116.6660298,118.3581957,-2455.045833,450,413.5,399,410,16,0.166061235
0.003703704,0.5,green,10,B,333.2781807,374.6943639,94.0555649,51.93222907,-1324.298971,371,293,345,267,9652,277.7715618,388.2430458,26.04541058,50.17807561,126.7899094,386,277,381,267,6435,66.67012018,444.3769829,347.5863142,81.79645822,44.21807627,287.9151796,347,429,345,379,3215,33.30915872
0.001234568,0.5,green,10,B,491.2170358,335.4507348,65.40431836,36.02618694,213.2728298,338,485,345,475,9662,269.2916667,364.3333333,29.9772668,57.34603191,117.3049645,352.5,273,345,273,48,0.496791555,492.3250468,335.3065321,63.62029385,35.83437061,245.9295836,338,485,345,475,9614,99.50320845
0.000411523,0.5,green,10,B,515.5920944,337.6827401,69.61255116,37.50392064,462.9911375,340,507,345,472,9664,271.3809524,333.047619,27.49086428,25.44695697,294.0309524,325,270,323,255,21,0.217301325,516.1239241,337.6928342,68.73659015,37.52622284,460.918903,340,507,345,472,9643,99.78269868
0.000137174,0.5,green,10,B,503.657373,334.3063817,63.69478008,36.39895914,310.7731668,336,497,345,470,9684,271.1794872,326,21.90154019,44.71841726,13.55263158,324,273,321,260,39,0.402726146,504.597408,334.3399689,62.06526927,36.36045044,304.135846,337,497,345,470,9645,99.59727385
4.57E-05,0.5,green,10,B,502.8883961,335.3217122,63.0807618,36.11342763,287.2290172,337,496,345,466,9695,263.2631579,333.6315789,29.41625043,34.50154671,221.9912281,343,262,343,231,19,0.195977308,503.3589293,335.325031,62.22862942,36.11814775,286.5831697,337,496,345,466,9676,99.80402269
1.52E-05,0.5,green,10,B,507.4374032,335.9635669,66.11542646,36.50059406,276.4648435,339,501,345,477,9689,260.4705882,339.0294118,32.44878043,49.16976485,395.9251337,339.5,261,326,231,34,0.350913407,508.3070948,335.9527706,64.55603546,36.45117355,278.7611389,339,501,345,477,9655,99.64908659
5.08E-06,0.5,green,10,B,507.6254355,334.9291863,63.41985245,36.64421944,266.2784848,337,501,345,488,9758,264.5,348.4583333,21.51036151,57.27050927,253.2826087,340.5,267,341,240,24,0.245952039,508.2248819,334.8958291,62.3280602,36.57740761,274.4673821,337,501,345,488,9734,99.75404796
0,0.5,green,10,B,509.4426078,334.8806982,63.67682268,36.253043,278.2723391,337,503,345,488,9740,269.3548387,327,26.47961277,31.83184988,-230.4666667,323,268,323,262,31,0.318275154,510.2091874,334.9058605,62.29659455,36.26499371,273.812031,337,503,345,488,9709,99.68172485
10,0.16,green,10,B,256.4449104,494.0828179,28.51968783,62.63899752,233.4811827,491,255,470,253,9539,255.4940545,494.6026518,23.5839397,62.08641361,363.2705272,491,255,470,253,9503,99.62260195,507.4444444,356.8611111,74.88942113,57.49541735,565.0634921,349,502,343,454,36,0.37739805
0.1,0.16,green,10,B,259.8078122,501.4390193,27.44150322,60.56773021,497.9505648,499,260,470,253,9626,259.5172665,501.5847722,25.95856198,60.45421748,534.1615446,499,260,470,253,9614,99.87533763,492.5833333,384.6666667,104.1227059,33.36665002,-1412.060606,377.5,466,414,360,12,0.124662373
0.033333333,0.16,green,10,B,264.4090765,505.6707666,42.72969591,58.22936941,119.8454064,504,260,472,273,9431,260.8258765,507.333405,27.77538848,55.57243779,548.2689881,505,260,472,273,9298,98.58975718,514.9097744,389.4360902,109.4047572,104.426018,-296.8012645,369,504,386,354,133,1.410242816
0.011111111,0.16,green,10,B,346.407308,394.6295417,111.9350381,65.84440793,-3386.575222,387,290,350,267,9688,270.0411366,422.8798943,25.71530143,59.03698092,136.6458867,422,268,381,267,6053,62.4793559,473.6100715,347.5825537,80.03357827,47.01121597,322.9321438,345,467,345,401,3634,37.51032205
0.003703704,0.16,green,10,B,495.0799019,333.3225708,63.66320307,36.94414264,183.9439761,336,489,345,454,9787,265.84375,378.609375,28.98561151,58.5077982,126.4141865,363,266,345,253,64,0.653928681,496.58881,333.024478,61.04122435,36.57980453,253.1261945,336,490,345,454,9723,99.34607132
0.001234568,0.16,green,10,B,509.7986425,334.4914644,66.1748047,36.58871918,347.8543955,337,503,345,498,9724,264.3333333,326.9047619,30.9408037,31.58782164,16.33333333,325,260,299,231,21,0.21596051,510.329898,334.5078842,65.23733134,36.59850181,344.5340407,337,503,345,498,9703,99.78403949
0.000411523,0.16,green,10,B,509.9524006,333.79796,66.21547423,36.73108593,358.9745139,336,502,345,470,9706,259.5652174,338.826087,32.27555518,38.64130171,-71.66996047,345,248,354,248,23,0.236966825,510.5471445,333.7860167,65.14024978,36.7277098,362.9879863,336,503,345,470,9683,99.76303318
0.000137174,0.16,green,10,B,505.4087464,332.6707292,62.73150891,35.98779539,235.9466475,335,499,345,504,9764,276.0967742,356.0322581,34.00034788,46.6743926,-133.9698925,359,268,371,331,31,0.317492831,506.1391144,332.5963218,61.45063885,35.92752979,254.2298171,335,499,345,504,9733,99.68250717
4.57E-05,0.16,green,10,B,505.3985455,333.4035645,63.31130122,36.0860929,257.4141293,336,499,345,477,9763,270.8214286,338.7142857,35.10729962,37.33021529,406.2433862,340,267.5,322,238,28,0.286797091,506.0901993,333.3830902,62.09097273,36.08151504,261.5067961,336,499,345,477,9734,99.70296016
1.52E-05,0.16,green,10,B,521.4059518,336.0942022,71.32781095,36.34291716,410.9429738,339,513,345,481,9745,275.0769231,329.7692308,24.6850936,32.2196309,139.2584615,330.5,273,350,273,26,0.266803489,522.0649244,336.1111225,70.26326002,36.35331469,407.5046184,339,514,345,481,9719,99.73319651
5.08E-06,0.16,green,10,B,512.5760222,333.4946579,66.15618826,36.36610088,331.0101154,336,505,345,483,9734,257.4,329.7,33.27461495,46.11552998,97.17894737,320,249,317,238,20,0.205465379,513.1014,333.5024707,65.1853791,36.34593114,329.5036617,336,505,345,483,9714,99.79453462
0,0.16,green,10,B,530.3283951,337.1430041,72.61162133,36.96327216,460.3449461,340,521,345,512,9720,280.5882353,336.2941176,36.12661558,27.62870949,451.1911765,328,270,325,260,17,0.174897119,530.7659487,337.1444914,71.90310301,36.97860706,460.035368,340,521,345,512,9703,99.82510288
10,0.125,green,10,B,258.7407019,495.9438449,34.72977536,62.81898974,180.6195533,494,257,479,260,9545,256.76673,496.793118,24.22970686,61.82121489,387.1663455,494,257,479,260,9474,99.25615506,522.1408451,382.6197183,118.7613809,87.80097074,2734.425755,359,498,322,389,71,0.743844945
0.1,0.125,green,10,B,264.7001477,499.500633,50.6464216,62.9690256,-295.5567375,499,260,486,268,9478,258.7337718,502.3633815,26.67847324,59.64319246,500.9451298,501,260,503,268,9274,97.84764718,535.9362745,369.3578431,108.0704972,72.23098135,-427.4401381,357,532.5,357,357,204,2.152352817
0.033333333,0.125,green,10,B,301.3863183,460.1725947,88.19434182,71.35277998,-2776.097743,468,274,464,262,9531,270.3369393,476.0561566,26.91863095,59.31018084,306.2377017,477,270,464,262,8227,86.31832966,497.2783742,359.9624233,88.45621448,58.19159583,521.9007217,352,489,345,488,1304,13.68167034
0.011111111,0.125,green,10,B,454.829549,346.3335046,99.60939859,50.18569038,-1827.51374,343,468,345,462,9733,270.4811715,409.8005579,27.71779821,58.62861075,99.68710053,407,271,345,260,1434,14.73338128,486.6834558,335.3669117,67.94330736,39.29212419,210.7416097,337,481,345,462,8299,85.26661872
0.003703704,0.125,green,10,B,501.6808314,332.5273176,61.93243796,36.40659363,192.0281683,334,496,345,467,9719,263.7096774,347.0645161,39.77117344,68.40026096,659.6526882,341,260,343,260,31,0.318962856,502.4422998,332.480801,60.50782458,36.25622607,201.7059738,334,496,345,467,9688,99.68103714
0.001234568,0.125,green,10,B,507.1640168,333.2183814,64.24871267,36.23398301,321.5899475,336,501,345,483,9749,266.7777778,310.3703704,31.59763055,39.13600364,358.9700855,306,267,350,268,27,0.276951482,507.831619,333.281835,63.05352714,36.20770098,306.2257344,336,501,345,483,9722,99.72304852
0.000411523,0.125,green,10,B,506.8844613,333.1219061,62.40996721,35.98792408,225.5669828,336,501,345,462,9737,269.0416667,342.2916667,33.59409778,29.58918599,198.5960145,334,269,327,258,24,0.246482489,507.4721507,333.0992484,61.33366988,36.00068689,231.0569241,336,501,345,462,9713,99.75351751
0.000137174,0.125,green,10,B,505.7150901,332.083231,62.10418895,36.14397812,207.21231,334,499,345,493,9768,269.9230769,343.3076923,31.54796105,33.46851563,233.4646154,341.5,262,303,229,26,0.266175266,506.3443851,332.0532745,60.95799014,36.14778116,214.2492828,334,499,345,493,9742,99.73382473
4.57E-05,0.125,green,10,B,506.6166275,333.3318335,62.16613156,36.43890001,262.6787732,336,500,345,478,9779,265.952381,330.2380952,32.42911684,35.31133637,208.5119048,328,273,328,229,21,0.214745884,507.1345563,333.3384915,61.20344828,36.44275939,261.210778,336,500,345,478,9758,99.78525412
